Mod:Item:MetaData, Localized Name
industrialupgrade:crafting_elements:20, Улучшенный электромотор
industrialupgrade:crafting_elements:21, Шаблон датчика
industrialupgrade:crafting_elements:22, Датчик: Геотермальный
industrialupgrade:crafting_elements:23, Шаблон продвинутого датчика
industrialupgrade:crafting_elements:24, Шаблон совершеного датчика
industrialupgrade:crafting_elements:25, Шаблон улучшеного датчика
industrialupgrade:crafting_elements:26, Электрон
industrialupgrade:crafting_elements:27, Датчик: Жидкость
industrialupgrade:crafting_elements:28, Датчик: Иссушитель
industrialupgrade:crafting_elements:29, Датчик: Магнит
industrialupgrade:crafting_elements:30, Датчик: Ночь
industrialupgrade:crafting_elements:31, Датчик: Остаточные продукты реактора
industrialupgrade:crafting_elements:32, Датчик: Пар
industrialupgrade:crafting_elements:33, Датчик: Переработки
industrialupgrade:crafting_elements:34, Датчик: Промывание руд
industrialupgrade:crafting_elements:35, Баллон с опытом
industrialupgrade:crafting_elements:36, Датчик: Радиация
industrialupgrade:crafting_elements:37, Датчик: День
industrialupgrade:crafting_elements:38, Датчик: Температура реактора
industrialupgrade:crafting_elements:39, Датчик: Термальный
industrialupgrade:crafting_elements:40, Дозиметр
industrialupgrade:crafting_elements:41, Дробящий элемент
industrialupgrade:crafting_elements:42, Контроллер
industrialupgrade:crafting_elements:43, Датчик: Бак
industrialupgrade:crafting_elements:44, Датчик: Слот
industrialupgrade:crafting_elements:45, Датчик: Улучшенный бак
industrialupgrade:crafting_elements:46, Пустой баллон
industrialupgrade:crafting_elements:47, Датчик: Двойной слот
industrialupgrade:crafting_elements:48, Датчик: Продвинутый бак
industrialupgrade:crafting_elements:49, Датчик: Тройной слот
industrialupgrade:crafting_elements:50, Датчик: Совершенный бак
industrialupgrade:crafting_elements:51, Датчик: Четверной слот
industrialupgrade:crafting_elements:52, Датчик: Восьмикратный слот
industrialupgrade:crafting_elements:53, Датчик: Руда
industrialupgrade:crafting_elements:54, Датчик: Моб
industrialupgrade:crafting_elements:55, Датчик: Обогащение
industrialupgrade:crafting_elements:56, Датчик: Объединение
industrialupgrade:crafting_elements:57, Датчик: RF
industrialupgrade:crafting_elements:58, Датчик: Репликатор
industrialupgrade:crafting_elements:59, Датчик: Спаунер
industrialupgrade:crafting_elements:60, Датчик: Энергия
industrialupgrade:crafting_elements:61, Датчик: Земля
industrialupgrade:crafting_elements:62, Датчик: Покраска
industrialupgrade:crafting_elements:63, Датчик: Пресс
industrialupgrade:crafting_elements:64, Датчик: Растение
industrialupgrade:crafting_elements:65, Датчик: Синтез пластика
industrialupgrade:crafting_elements:66, Датчик: Улучшение
industrialupgrade:crafting_elements:67, Датчик: Ухудшение
industrialupgrade:crafting_elements:68, Датчик: QE
industrialupgrade:crafting_elements:69, Датчик: Дробитель
industrialupgrade:crafting_elements:70, Нагревательный баллон
industrialupgrade:crafting_elements:71, Датчик: Ветер
industrialupgrade:crafting_elements:72, Охлаждающий баллон
industrialupgrade:crafting_elements:73, Датчик: Плата
industrialupgrade:crafting_elements:74, Датчик: Сплав
industrialupgrade:crafting_elements:75, Датчик: Преобразования
industrialupgrade:crafting_elements:76, Пресс
industrialupgrade:crafting_elements:77, Продвинутый датчик: Пресс
industrialupgrade:crafting_elements:78, Продвинутый датчик: Дробитель
industrialupgrade:crafting_elements:79, Датчик: SE
industrialupgrade:crafting_elements:80, Продвинутый датчик: Ветер
industrialupgrade:crafting_elements:81, Продвинутый датчик: Вода
industrialupgrade:crafting_elements:82, Продвинутый датчик: Геотермальный
industrialupgrade:crafting_elements:83, Продвинутый датчик: Жидкость
industrialupgrade:crafting_elements:84, Продвинутый датчик: Остатков продуктов реактора
industrialupgrade:crafting_elements:85, Продвинутый датчик: Пар
industrialupgrade:crafting_elements:86, Продвинутый датчик: Переработки
industrialupgrade:crafting_elements:87, Продвинутый датчик: Промывание руд
industrialupgrade:crafting_elements:88, Продвинутый датчик: Радиация
industrialupgrade:crafting_elements:89, Продвинутый датчик: Температура реактора
industrialupgrade:crafting_elements:90, Датчик: Беспроводность
industrialupgrade:crafting_elements:91, Продвинутый датчик: Термальный
industrialupgrade:crafting_elements:92, Продвинутый контроллер
industrialupgrade:crafting_elements:93, Продвинутый датчик: Репликатор
industrialupgrade:crafting_elements:94, Продвинутый датчик: Земля
industrialupgrade:crafting_elements:95, Продвинутый датчик: Растения
industrialupgrade:crafting_elements:96, Продвинутый электромотор
industrialupgrade:crafting_elements:97, Противогаз
industrialupgrade:crafting_elements:98, Датчик: Синтез нефти
industrialupgrade:crafting_elements:99, Датчик: Синтез радиации
industrialupgrade:crafting_elements:100, Датчик: Синтез
industrialupgrade:crafting_elements:101, Датчик: Вода
industrialupgrade:crafting_elements:102, Совершенный датчик: Пресс
industrialupgrade:crafting_elements:103, Совершенный датчик: Дробитель
industrialupgrade:crafting_elements:104, Совершенный датчик: Ветер
industrialupgrade:crafting_elements:105, Совершенный датчик: Вода
industrialupgrade:crafting_elements:106, Совершенный датчик: Геотермальный
industrialupgrade:crafting_elements:107, Совершенный датчик: Жидкость
industrialupgrade:crafting_elements:108, Совершенный датчик: Остатков продуктов реактора
industrialupgrade:crafting_elements:109, Совершенный датчик: Пар
industrialupgrade:crafting_elements:110, Совершенный датчик: Переработки
industrialupgrade:crafting_elements:111, Совершенный датчик: Промывание руд
industrialupgrade:crafting_elements:112, Датчик: Воздух
industrialupgrade:crafting_elements:113, Совершенный датчик: Радиация
industrialupgrade:crafting_elements:114, Совершенный датчик: Температура реактора
industrialupgrade:crafting_elements:115, Совершенный датчик: Термальный
industrialupgrade:crafting_elements:116, Совершенный контроллер
industrialupgrade:crafting_elements:117, Совершенный датчик: Репликатор
industrialupgrade:crafting_elements:118, Совершенный датчик: Земля
industrialupgrade:crafting_elements:119, Совершенный датчик: Растения
industrialupgrade:crafting_elements:120, Совершенный электромотор
industrialupgrade:crafting_elements:121, Техническая рыболовная сеть
industrialupgrade:crafting_elements:122, Шаблон трубы
industrialupgrade:crafting_elements:123, Датчик: Выпаривание
industrialupgrade:crafting_elements:124, Датчик: Комбинирование
industrialupgrade:crafting_elements:125, Улучшенный датчик: Экструдер
industrialupgrade:crafting_elements:126, Продвинутый датчик: Экструдер
industrialupgrade:crafting_elements:127, Совершенный датчик: Экструдер
industrialupgrade:crafting_elements:128, Датчик: Крафт
industrialupgrade:crafting_elements:129, Улучшенный датчик: Крафт
industrialupgrade:crafting_elements:130, Продвинутый датчик: Крафт
industrialupgrade:crafting_elements:131, Совершенный датчик: Крафт
industrialupgrade:crafting_elements:132, Датчик: Режущий автомат
industrialupgrade:crafting_elements:133, Улучшенный датчик: Режущий автомат
industrialupgrade:crafting_elements:134, Продвинутый датчик: Режущий автомат
industrialupgrade:crafting_elements:135, Улучшенный датчик: Комбинирование
industrialupgrade:crafting_elements:136, Совершенный датчик: Режущий автомат
industrialupgrade:crafting_elements:137, Обшивка корпуса
industrialupgrade:crafting_elements:138, Улучшенная обшивка корпуса
industrialupgrade:crafting_elements:139, Продвинутая обшивка корпуса
industrialupgrade:crafting_elements:140, Совершенная обшивка корпуса
industrialupgrade:crafting_elements:141, Экстрактор
industrialupgrade:crafting_elements:142, Экструдер
industrialupgrade:crafting_elements:143, Шаблон для кодировщика реактора
industrialupgrade:crafting_elements:144, Режущий автомат
industrialupgrade:crafting_elements:145, Датчик: Водяная материя
industrialupgrade:crafting_elements:146, Совершенный датчик: Комбинирование
industrialupgrade:crafting_elements:147, Датчик: Воздушная материя
industrialupgrade:crafting_elements:148, Датчик: Солнечная материя
industrialupgrade:crafting_elements:149, Датчик: Ночная материя
industrialupgrade:crafting_elements:150, Датчик: Адская материя
industrialupgrade:crafting_elements:151, Датчик: Твёрдая материя
industrialupgrade:crafting_elements:152, Датчик: Краевая материя
industrialupgrade:crafting_elements:153, Датчик: Земляная материя
industrialupgrade:crafting_elements:154, Датчик: Хранение жидкости
industrialupgrade:crafting_elements:155, Датчик: Ускорение
industrialupgrade:crafting_elements:156, Датчик: Трансформатор
industrialupgrade:crafting_elements:157, Совершенный датчик: Комбинирование
industrialupgrade:crafting_elements:158, Датчик: Карьер
industrialupgrade:crafting_elements:159, Датчик: Экстрактор
industrialupgrade:crafting_elements:160, Улучшенный датчик: Экстрактор
industrialupgrade:crafting_elements:161, Продвинутый датчик: Экстрактор
industrialupgrade:crafting_elements:162, Совершенный датчик: Экстрактор
industrialupgrade:crafting_elements:163, Датчик: Экструдер
industrialupgrade:crafting_elements:164, Прокатный станок
industrialupgrade:crafting_elements:165, Датчик: Прокатный станок
industrialupgrade:crafting_elements:166, Улучшенный датчик: Прокатный станок
industrialupgrade:crafting_elements:167, Продвинутый датчик: Прокатный станок
industrialupgrade:crafting_elements:168, Совершенный датчик: Прокатный станок
industrialupgrade:crafting_elements:169, Ограничитель энергии
industrialupgrade:crafting_elements:170, Датчик: Сканер
industrialupgrade:crafting_elements:171, Улучшенный датчик: Сканер
industrialupgrade:crafting_elements:172, Продвинутый датчик: Сканер
industrialupgrade:crafting_elements:173, Совершенный датчик: Сканер
industrialupgrade:crafting_elements:174, Продвинутый датчик: SE
industrialupgrade:crafting_elements:175, Совершенный датчик: SE
industrialupgrade:crafting_elements:176, Улучшенный датчик: SE
industrialupgrade:crafting_elements:177, Продвинутый датчик: QE
industrialupgrade:crafting_elements:178, Совершенный датчик: QE
industrialupgrade:crafting_elements:179, Улучшенный датчик: QE
industrialupgrade:crafting_elements:180, Медно-железная труба (1)
industrialupgrade:crafting_elements:181, Медно-железная труба (2)
industrialupgrade:crafting_elements:182, Медно-железная труба (3)
industrialupgrade:crafting_elements:183, Медно-железная труба (4)
industrialupgrade:crafting_elements:184, Нижняя часть стержня
industrialupgrade:crafting_elements:185, Верхняя часть стержня
industrialupgrade:crafting_elements:186, Левая часть стержня
industrialupgrade:crafting_elements:187, Правая часть стержня
industrialupgrade:crafting_elements:188, Дюралюминиевая-серебряная труба (1)
industrialupgrade:crafting_elements:189, Дюралюминиевая-серебряная труба (2)
industrialupgrade:crafting_elements:190, Дюралюминиевая-серебряная труба (3)
industrialupgrade:crafting_elements:191, Дюралюминиевая-серебряная труба (4)
industrialupgrade:crafting_elements:192, Правая часть улучшенного стержня
industrialupgrade:crafting_elements:193, Левая часть улучшенного стержня
industrialupgrade:crafting_elements:194, Верхняя часть улучшенного стержня
industrialupgrade:crafting_elements:195, Нижняя часть улучшенного стержня
industrialupgrade:crafting_elements:196, Датчик: Опреснитель
industrialupgrade:crafting_elements:197, Продвинутый датчик: Опреснитель
industrialupgrade:crafting_elements:198, Совершенный датчик: Опреснитель
industrialupgrade:crafting_elements:199, Улучшенный датчик: Опреснитель
industrialupgrade:crafting_elements:200, Часть прокатного станка
industrialupgrade:crafting_elements:201, Опреснитель
industrialupgrade:crafting_elements:202, Продвинутый датчик: Минерал
industrialupgrade:crafting_elements:203, Совершенный датчик: Минерал
industrialupgrade:crafting_elements:204, Улучшенный датчик: Минерал
industrialupgrade:crafting_elements:205, Датчик: Минерал
industrialupgrade:crafting_elements:206, Датчик: Трансформатор НН
industrialupgrade:crafting_elements:207, Датчик: Трансформатор СН
industrialupgrade:crafting_elements:208, Датчик: Трансформатор ВН
industrialupgrade:crafting_elements:209, Датчик: Трансформатор СВН
industrialupgrade:crafting_elements:210, Датчик: Трансформатор ПН
industrialupgrade:crafting_elements:211, Датчик: Трансформатор НкВН
industrialupgrade:crafting_elements:212, Датчик: Трансформатор СкВН
industrialupgrade:crafting_elements:213, Датчик: Трансформатор ВкВН
industrialupgrade:crafting_elements:214, Датчик: Трансформатор СВкВН
industrialupgrade:crafting_elements:215, Датчик: Трансформатор ПкВН
industrialupgrade:crafting_elements:216, Датчик: Трансформатор МВН
industrialupgrade:crafting_elements:217, Датчик: Рыболов
industrialupgrade:crafting_elements:218, Датчик: Механический штамп
industrialupgrade:crafting_elements:219, Датчик: Электропечь
industrialupgrade:crafting_elements:220, Продвинутый датчик: Механический штамп
industrialupgrade:crafting_elements:221, Продвинутый датчик: Электропечь
industrialupgrade:crafting_elements:222, Совершенный датчик: Механический штамп
industrialupgrade:crafting_elements:223, Совершенный датчик: Электропечь
industrialupgrade:crafting_elements:224, Улучшенный датчик: Механический штамп
industrialupgrade:crafting_elements:225, Улучшенный датчик: Электропечь
industrialupgrade:crafting_elements:226, Датчик: Анализатор
industrialupgrade:crafting_elements:227, Датчик: Булыжник
industrialupgrade:crafting_elements:228, Датчик: Лава
industrialupgrade:crafting_elements:229, Датчик: Обсидиант
industrialupgrade:crafting_elements:230, Датчик: Песок
industrialupgrade:crafting_elements:231, Датчик: Гравий
industrialupgrade:crafting_elements:232, Продвинутый датчик: Генератор
industrialupgrade:crafting_elements:233, Совершенный датчик: Генератор
industrialupgrade:crafting_elements:234, Улучшенный датчик: Генератор
industrialupgrade:crafting_elements:235, Улучшенный датчик: Сплав
industrialupgrade:crafting_elements:236, Датчик: Бензин
industrialupgrade:crafting_elements:237, Датчик: Водород
industrialupgrade:crafting_elements:238, Датчик: Гелий
industrialupgrade:crafting_elements:239, Датчик: Дизель
industrialupgrade:crafting_elements:240, Датчик: Жидкая материя
industrialupgrade:crafting_elements:241, Датчик: Помпа
industrialupgrade:crafting_elements:242, Датчик: Реакторная камера
industrialupgrade:crafting_elements:243, Датчик: Сборщик
industrialupgrade:crafting_elements:244, Датчик: Электролизёр
industrialupgrade:crafting_elements:245, Продвинутый датчик: Помпа
industrialupgrade:crafting_elements:246, Продвинутый датчик: Реакторная камера
industrialupgrade:crafting_elements:247, Совершенный датчик: Реакторная камера
industrialupgrade:crafting_elements:248, Улучшенный датчик: Помпа
industrialupgrade:crafting_elements:249, Улучшенный датчик: Реакторная камера
industrialupgrade:crafting_elements:250, Датчик: Квантовый карьер
industrialupgrade:crafting_elements:251, Датчик: Нефть
industrialupgrade:crafting_elements:252, Продвинутый датчик: Карьер
industrialupgrade:crafting_elements:253, Продвинутый датчик: Квантовый карьер
industrialupgrade:crafting_elements:254, Совершенный датчик: Карьер
industrialupgrade:crafting_elements:255, Совершенный датчик: Квантовый карьер
industrialupgrade:crafting_elements:256, Улучшенный датчик: Карьер
industrialupgrade:crafting_elements:257, Улучшенный датчик: Квантовый карьер
industrialupgrade:crafting_elements:258, Датчик: Генератор на красном камне
industrialupgrade:crafting_elements:259, Продвинутый датчик: Генератор на красном камне
industrialupgrade:crafting_elements:260, Совершенный датчик: Генератор на красном камне
industrialupgrade:crafting_elements:261, Улучшенный датчик: Генератор на красном камне
industrialupgrade:crafting_elements:262, Датчик: Сварочный аппарат
industrialupgrade:crafting_elements:263, Датчик: Газовый генератор
industrialupgrade:crafting_elements:264, Датчик: Консервирование
industrialupgrade:crafting_elements:265, Датчик: Наполение
industrialupgrade:crafting_elements:266, Датчик: Красный камень
industrialupgrade:crafting_elements:267, Датчик: Смешиватель
industrialupgrade:crafting_elements:268, Датчик: Телепортация
industrialupgrade:crafting_elements:269, Телепортационный кристалл
industrialupgrade:crafting_elements:270, Ядро телепортера
industrialupgrade:itempipes_iu:0, Выходная предметная труба
industrialupgrade:itempipes_iu:1, Входная предметная труба
industrialupgrade:itempipes_iu:2, Выходная жидкостная труба
industrialupgrade:itempipes_iu:3, Входная жидкостная труба
industrialupgrade:gear:0, Михаловая шестерня
industrialupgrade:gear:1, Алюминиевая шестерня
industrialupgrade:gear:2, Ванадиевая шестерня
industrialupgrade:gear:3, Вольфрамовая шестерня
industrialupgrade:gear:4, Инварная шестерня
industrialupgrade:gear:5, Каравковая шестерня
industrialupgrade:gear:6, Кобальтовая шестерня
industrialupgrade:gear:7, Магниевая шестерня
industrialupgrade:gear:8, Никелевая шестерня
industrialupgrade:gear:9, Платиновая шестерня
industrialupgrade:gear:10, Титановая шестерня
industrialupgrade:gear:11, Хромовая шестерня
industrialupgrade:gear:12, Шпинелевая шестерня
industrialupgrade:gear:13, Электрумовая шестерня
industrialupgrade:gear:14, Серебряная шестерня
industrialupgrade:gear:15, Цинковая шестерня
industrialupgrade:gear:16, Марганцевая шестерня
industrialupgrade:gear:17, Иридиевая шестерня
industrialupgrade:gear:18, Германиевая шестерня
industrialupgrade:sensor:0, Датчик
industrialupgrade:alloygear:0, Шестерня из алюминиевой бронзы
industrialupgrade:alloygear:1, Шестерня из алюминида титана
industrialupgrade:alloygear:2, Шестерня из красной латуни
industrialupgrade:alloygear:3, Шестерня из мунц-металла
industrialupgrade:alloygear:4, Нихромовая шестерня
industrialupgrade:alloygear:5, Алькледная шестерня
industrialupgrade:alloygear:6, Шестерня из ванадиево-алюминиевого сплава
industrialupgrade:alloygear:7, Виталлиевая шестерня
industrialupgrade:alloygear:8, Дюралюминиевая шестерня
industrialupgrade:alloygear:9, Ферромарганцевая шестерня
industrialupgrade:corewater:0, Деревянная сердцевина водяного ротора
industrialupgrade:corewater:1, Бронзовая сердцевина водяного ротора
industrialupgrade:corewater:2, Железная сердцевина водяного ротора
industrialupgrade:corewater:3, Стальная сердцевина водяного ротора
industrialupgrade:corewater:4, Углеволоконная седцевина водяного ротора
industrialupgrade:corewater:5, Иридиевая сердцевина водяного ротора
industrialupgrade:corewater:6, Сжатая иридиевая сердцевина водяного ротора
industrialupgrade:corewater:7, Спектральная сердцевина водяного ротора
industrialupgrade:corewater:8, Мистическая сердцевина водяного ротора
industrialupgrade:corewater:9, Фотонная седрцевина водяного ротора
industrialupgrade:corewater:10, Нейтронная седцевина водяного ротора
industrialupgrade:corewater:11, Барионная сердцевина водяного ротора
industrialupgrade:corewater:12, Адронная сердцевина водяного ротора
industrialupgrade:corewater:13, Ультрамариновая сердцевина водяного ротора
industrialupgrade:heatcoldpipes_iu_item:0, Универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:1, Улучшенная универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:2, Продвинутая универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:3, Совершенная универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:4, Квантовая универсальная тепловая труба
industrialupgrade:universal_cable_item:0, §aУниверсальный спектральный провод
industrialupgrade:universal_cable_item:1, §9Универсальный протонный провод
industrialupgrade:universal_cable_item:2, §eУниверсальный сингулярный провод
industrialupgrade:universal_cable_item:3, §6Универсальный мифический провод
industrialupgrade:universal_cable_item:4, §5Универсальный квантовый провод
industrialupgrade:universal_cable_item:5, §dУниверсальный фотонный провод
industrialupgrade:universal_cable_item:6, §3Универсальный нейтронный провод
industrialupgrade:universal_cable_item:7, §bУниверсальный совершенный провод
industrialupgrade:universal_cable_item:8, §6Универсальный вселенский провод
industrialupgrade:universal_cable_item:9, §cУниверсальный дифракционный провод
industrialupgrade:universal_cable_item:10, §7Универсальный провод бесконечности
industrialupgrade:meter, iu.meter.name
industrialupgrade:cooling_sensor, iu.cooling_sensor.name
industrialupgrade:heat_sensor, iu.heat_sensor.name
industrialupgrade:frequency_transmitter, Частотный связыватель
industrialupgrade:rotor_wood, iu.rotor_wood.name
industrialupgrade:rotor_bronze, iu.rotor_bronze.name
industrialupgrade:rotor_iron, iu.rotor_iron.name
industrialupgrade:rotor_steel, iu.rotor_steel.name
industrialupgrade:rotor_carbon, iu.rotor_carbon.name
industrialupgrade:water_rotor_wood, iu.water_rotor_wood.name
industrialupgrade:water_rotor_bronze, iu.water_rotor_bronze.name
industrialupgrade:water_rotor_iron, iu.water_rotor_iron.name
industrialupgrade:water_rotor_steel, iu.water_rotor_steel.name
industrialupgrade:water_rotor_carbon, iu.water_rotor_carbon.name
industrialupgrade:water_iridium, iu.water_iridium.name
industrialupgrade:water_compressiridium, iu.water_compressiridium.name
industrialupgrade:water_spectral, iu.water_spectral.name
industrialupgrade:water_myphical, iu.water_myphical.name
industrialupgrade:water_photon, iu.water_photon.name
industrialupgrade:water_neutron, iu.water_neutron.name
industrialupgrade:water_barionrotor, iu.water_barionrotor.name
industrialupgrade:water_adronrotor, iu.water_adronrotor.name
industrialupgrade:water_ultramarinerotor, iu.water_ultramarinerotor.name
industrialupgrade:neutroniumingot, iu.neutroniumingot.name.name
industrialupgrade:upgrade_speed_creation, iu.upgrade_speed_creation.name.name
industrialupgrade:itemcore:0, §8Улучшенное ядро
industrialupgrade:itemcore:1, §3Гибридное ядро
industrialupgrade:itemcore:2, §9Совершенное ядро
industrialupgrade:itemcore:3, §2Квантовое ядро
industrialupgrade:itemcore:4, §eСпектральное ядро
industrialupgrade:itemcore:5, §5Протонное ядро
industrialupgrade:itemcore:6, §8Сингулярное ядро
industrialupgrade:itemcore:7, §cДифракционное ядро
industrialupgrade:itemcore:8, §aФотонное ядро
industrialupgrade:itemcore:9, §9Нейтронное ядро
industrialupgrade:itemcore:10, Барионное ядро
industrialupgrade:itemcore:11, Адронное ядро
industrialupgrade:itemcore:12, Гравитонное ядро
industrialupgrade:itemcore:13, Кварковое ядро
industrialupgrade:corewind:0, Деревянная сердцевина ротора
industrialupgrade:corewind:1, Бронзовая сердцевина ротора
industrialupgrade:corewind:2, Железная сердцевина ротора
industrialupgrade:corewind:3, Стальная сердцевина ротора
industrialupgrade:corewind:4, Углеволоконная сердцевина ротора
industrialupgrade:corewind:5, Иридиевая сердцевина ротора
industrialupgrade:corewind:6, Сердцевина ротора сжатого иридия
industrialupgrade:corewind:7, Спектральная сердцевина ротора
industrialupgrade:corewind:8, Мистическая сердцевина ротора
industrialupgrade:corewind:9, Нейтронная сердцевина ротора
industrialupgrade:corewind:10, Фотонная сердцевина ротора
industrialupgrade:corewind:11, Барионная сердцевина ротора
industrialupgrade:corewind:12, Адронная сердцевина ротора
industrialupgrade:corewind:13, Ультрамариновая сердцевина ротора
industrialupgrade:autoheater, iu.autoheater.name.name
industrialupgrade:itemcoolupgrade:0, Азотный модуль охлаждения
industrialupgrade:itemcoolupgrade:1, Водородный модуль охлаждения
industrialupgrade:itemcoolupgrade:2, Гелиевый модуль охлаждения
industrialupgrade:upgrademodules:0, Модификационный модуль: Генерация днём
industrialupgrade:upgrademodules:1, Модификационный модуль: Генерация ночью
industrialupgrade:upgrademodules:2, Модификационный модуль: Защита
industrialupgrade:upgrademodules:3, Модификационный модуль: Скорость добычи
industrialupgrade:upgrademodules:4, Модификационный модуль: Эффективность энергопотребления (лук)
industrialupgrade:upgrademodules:5, Модификационный модуль: Эффективность энергопотребления (сабля)
industrialupgrade:upgrademodules:6, Модификационный модуль: Глубина копания
industrialupgrade:upgrademodules:7, Модификационный модуль: Огнестойкость
industrialupgrade:upgrademodules:8, Модификационный модуль: Водное дыхание
industrialupgrade:upgrademodules:9, Модификационный модуль: Скорость
industrialupgrade:upgrademodules:10, Модификационный модуль: Прыгучесть
industrialupgrade:upgrademodules:11, Модификационный модуль: Урон (лук)
industrialupgrade:upgrademodules:12, Модификационный модуль: Урон (сабля)
industrialupgrade:upgrademodules:13, Модификационный модуль: Площадь копания
industrialupgrade:upgrademodules:14, Модификационный модуль: Скорость полёта
industrialupgrade:upgrademodules:15, Модификационный модуль: Хранилище
industrialupgrade:upgrademodules:16, Модификационный модуль: Эффективность энергопотребления (инструмент)
industrialupgrade:upgrademodules:17, Модификационный модуль: Вампиризм
industrialupgrade:upgrademodules:18, Модификационный модуль: Сопротивление
industrialupgrade:upgrademodules:19, Модификационный модуль: Отравление
industrialupgrade:upgrademodules:20, Модификационный модуль: Иссушение
industrialupgrade:upgrademodules:21, Модификационный модуль: Шёлковое касание
industrialupgrade:upgrademodules:22, Модификационный модуль: Невидимость
industrialupgrade:upgrademodules:23, Модификационный модуль: Добыча 
industrialupgrade:upgrademodules:24, Модификационный модуль: Воспламенение
industrialupgrade:upgrademodules:25, Модификационный модуль: Накопление заряда
industrialupgrade:upgrademodules:26, Модификационный модуль: Удача
industrialupgrade:upgrademodules:27, Модификационный модуль: Эффективность
industrialupgrade:upgrademodules:28, Модификационный модуль: Плавка
industrialupgrade:upgrademodules:29, Модификационный модуль: Ночное зрение
industrialupgrade:upgrademodules:30, Модификационный модуль: Шипы
industrialupgrade:upgrademodules:31, Модификационный модуль: Больше опыта
industrialupgrade:upgrademodules:32, Модификационный модуль: Слепота
industrialupgrade:upgrademodules:33, Модификационный модуль: Защита от стрел
industrialupgrade:upgrademodules:34, Модификационный модуль: Эффективное падение
industrialupgrade:upgrademodules:35, Модификационный модуль: Дробитель
industrialupgrade:upgrademodules:36, Модификационный модуль: Дробитель руд
industrialupgrade:upgrademodules:37, Модификационный модуль: Сокровища
industrialupgrade:upgrademodules:38, Модификационный модуль: Голод
industrialupgrade:upgrademodules:39, Модификационный модуль: Генератор
industrialupgrade:upgrademodules:40, Модификационный модуль: Автосбор
industrialupgrade:upgrademodules:41, Модификационный модуль: Творческий полёт
industrialupgrade:upgrademodules:42, Модификационный модуль: Магнитная сила
industrialupgrade:upgrademodules:43, Модификационный модуль: Экономичная зарядка
industrialupgrade:upgrademodules:44, Модификационный модуль: Бесплатная чистка
industrialupgrade:upgrademodules:45, Модификационный модуль: Сила краника
industrialupgrade:upgrademodules:46, Модификационный модуль: Ключ
industrialupgrade:quarrymodules:0, Модуль: Переплавка руд
industrialupgrade:quarrymodules:1, Модуль: Эффективность I
industrialupgrade:quarrymodules:2, Модуль: Эффективность II
industrialupgrade:quarrymodules:3, Модуль: Эффективность III
industrialupgrade:quarrymodules:4, Модуль: Эффективность IV
industrialupgrade:quarrymodules:5, Модуль: Эффективность V
industrialupgrade:quarrymodules:6, Модуль: Удача I
industrialupgrade:quarrymodules:7, Модуль: Удача II
industrialupgrade:quarrymodules:8, Модуль: Удача III
industrialupgrade:quarrymodules:9, Модуль: Область 3х3
industrialupgrade:quarrymodules:10, Модуль: Область 5х5
industrialupgrade:quarrymodules:11, Модуль: Область 7х7
industrialupgrade:quarrymodules:12, Модуль: Чёрный список
industrialupgrade:quarrymodules:13, Модуль: Белый список
industrialupgrade:quarrymodules:14, Модуль: Дробитель
industrialupgrade:quarrymodules:15, Модуль: Дробитель руд
industrialupgrade:lead_box, item.lead_box.name.name
industrialupgrade:windrod:0, Деревянная лопасть ротора
industrialupgrade:windrod:1, Бронзовая лопасть ротора
industrialupgrade:windrod:2, Железная лопасть ротора
industrialupgrade:windrod:3, Стальная лопасть ротора
industrialupgrade:windrod:4, Углеволоконная лопасть ротора
industrialupgrade:windrod:5, Иридиевая лопасть ротора
industrialupgrade:windrod:6, Лопасть ротора сжатого иридия
industrialupgrade:windrod:7, Спектральная лопасть ротора
industrialupgrade:windrod:8, Мистическая лопасть ротора
industrialupgrade:windrod:9, Нейтронная лопасть ротора
industrialupgrade:windrod:10, Фотонная лопасть ротора
industrialupgrade:windrod:11, Барионная лопасть ротора
industrialupgrade:windrod:12, Адронная лопасть ротора
industrialupgrade:windrod:13, Ультрамариновая лопасть ротора
industrialupgrade:qe_iu_item:0, Провод квантовой энергии
industrialupgrade:se_iu_item:0, Провод солнечной энергии
industrialupgrade:exp_iu_item:0, Провод опыта
industrialupgrade:itemadvbatchargecrystal, Заряжающий улучшенный энергетический кристалл
industrialupgrade:itembatchargecrystal, Заряжающий совершенный энергетический кристалл
industrialupgrade:re_battery, Аккумулятор
industrialupgrade:energy_crystal, Энергетический кристалл
industrialupgrade:lapotron_crystal, Лазуротроновый кристалл
industrialupgrade:charging_re_battery, Заряжающий аккумулятор
industrialupgrade:advanced_charging_re_battery, Улучшенный заряжающий аккумулятор
industrialupgrade:charging_energy_crystal, Заряжающий энергетический кристалл
industrialupgrade:charging_lapotron_crystal, Заряжающий лазуротроновый кристалл
industrialupgrade:advanced_re_battery, Улучшенный аккумулятор
industrialupgrade:batpack, item.batpack.name.name
industrialupgrade:advanced_batpack, item.advanced_batpack.name.name
industrialupgrade:jetpack, jetpack.name.name
industrialupgrade:lappack, item.lappack.name.name
industrialupgrade:upgradekitstorage:0, Набор улучшений из МЭСН в МФЭ
